"","internal.gene_id","Chr","Start","End","Strand","Length","vectorbase.RU","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","orthodb.collapsed","display.name","gene.family","gene.family.specific"
"gene7092","gene7092","supercont1.58;supercont1.58;supercont1.58","145826;159954;160651","145862;160132;161321","+;+;+",887,"AAEL002463",NA,NA,NA,NA,NA,"","",""
"gene7093","gene7093","supercont1.1265;supercont1.1265","127174;127781","127706;129622","+;+",2375,"AAEL014767","FBpp0074900","FBgn0036781","CG13699","CG13699","EOG8KWNJQ","","",""
"gene7094","gene7094","supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265;supercont1.1265","11407;53561;61272;70959;71554;90069;90819;91440;97451;97819;99558;99865;102062;102392","12415;53657;61357;71431;71681;90759;91085;91562;97743;99486;99801;101996;102321;104406","+;+;+;+;+;+;+;+;+;+;+;+;+;+",9486,"AAEL014768","FBpp0297083","FBgn0036663","CG9674","CG9674","EOG8XKXZ3","","",""
"gene7095","gene7095","supercont1.273;supercont1.273","1442335;1443720","1443663;1444070","-;-",1680,"AAEL007673","FBpp0086263-FBpp0086155-FBpp0086136","FBgn0020506-FBgn0000079-FBgn0000078","CG8221-CG18730-CG17876","Amyrel-Amy-p-Amy-d","EOG8THZJQ-EOG8THZJQ-EOG8THZJQ","","",""
"gene7096","gene7096","supercont1.273;supercont1.273","1500749;1501021","1500811;1501893","+;+",936,"AAEL007676",NA,NA,NA,NA,NA,"","",""
"gene7097","gene7097","supercont1.273;supercont1.273","1002356;1030321","1004037;1037147","+;+",8509,"AAEL007670","FBpp0088404","FBgn0028979","CG12630","tio","EOG80ZTP0","","",""
"gene7098","gene7098","supercont1.273;supercont1.273","1471086;1471534","1471458;1473034","+;+",1874,"AAEL007672","FBpp0070794","FBgn0014340","CG3025","mof","EOG8RV5GQ","","",""
"gene7099","gene7099","supercont1.273;supercont1.273;supercont1.273","910766;911397;912785","911225;912698;913713","+;+;+",2691,"RU085",NA,NA,NA,NA,NA,"","",""
"gene71","gene71","supercont1.330;supercont1.330;supercont1.330;supercont1.330","42162;50220;98557;104860","50135;50319;104761;104896","-;-;-;-",14316,"AAEL008510","FBpp0072854-FBpp0073346","FBgn0052484-FBgn0030300","CG32484-CG1747","Sk2-Sk1","EOG8BS0B8-EOG8BS0B8","","",""
"gene710","gene710","supercont1.447;supercont1.447;supercont1.447;supercont1.447;supercont1.447;supercont1.447;supercont1.447;supercont1.447;supercont1.447;supercont1.447;supercont1.447","284060;292655;293165;294748;295017;313424;313814;314168;314659;314922;323616","284089;293094;293556;294955;295466;313747;314107;314590;314835;315117;323925","+;+;+;+;+;+;+;+;+;+;+",3244,"AAEL010018","FBpp0113084","FBgn0263352","CG7015","Unr","EOG8BGCM9","","",""
"gene7100","gene7100","supercont1.273;supercont1.273;supercont1.273;supercont1.273","1451158;1456053;1456663;1458017","1451346;1456601;1457994;1458069","+;+;+;+",2123,"AAEL007675","FBpp0086136-FBpp0086155-FBpp0086263","FBgn0000078-FBgn0000079-FBgn0020506","CG17876-CG18730-CG8221","Amy-d-Amy-p-Amyrel","EOG8THZJQ-EOG8THZJQ-EOG8THZJQ","","",""
"gene7101","gene7101","supercont1.273;supercont1.273","1428942;1430568","1428956;1432632","+;+",2080,"AAEL007671",NA,NA,NA,NA,NA,"","",""
"gene7102","gene7102","supercont1.273;supercont1.273","1487060;1488819","1488760;1489014","-;-",1897,"AAEL007677","FBpp0079267","FBgn0032032","CG17294","CG17294","EOG8TQQ28","","",""
"gene7103","gene7103","supercont1.273;supercont1.273;supercont1.273;supercont1.273;supercont1.273;supercont1.273","1404008;1411091;1412157;1421873;1424476;1428174","1404027;1411332;1412746;1421902;1424595;1428185","+;+;+;+;+;+",1014,"AAEL007678",NA,NA,NA,NA,NA,"","",""
"gene7104","gene7104","supercont1.273;supercont1.273;supercont1.273;supercont1.273","1440602;1441408;1441799;1442169","1441348;1441744;1442098;1443742","+;+;+;+",2958,"AAEL007674","FBpp0085624","FBgn0034485","CG11099","CG11099","EOG8HDWKM","","",""
"gene7105","gene7105","supercont1.272;supercont1.272","1057321;1101345","1074902;1105499","-;-",21737,"AAEL007667","FBpp0086540","FBgn0033987","CG12424","ckn","EOG8NP9V5","","",""
"gene7106","gene7106","supercont1.272;supercont1.272;supercont1.272;supercont1.272;supercont1.272;supercont1.272","1117988;1130318;1130552;1131455;1149578;1151068","1118799;1130485;1130730;1132361;1150994;1151287","-;-;-;-;-;-",3703,"AAEL018143","FBpp0311142-FBpp0311141","FBgn0052783-FBgn0052786","CG32783-CG32786","CG32783-CG32786","EOG80CM7B-EOG80CM7B","","",""
"gene7107","gene7107","supercont1.272;supercont1.272;supercont1.272;supercont1.272","132914;142278;164939;166633","133698;142805;166569;168197","+;+;+;+",4509,"AAEL007669","FBpp0073324-FBpp0291423-FBpp0073450-FBpp0110508-FBpp0110515-FBpp0083499","FBgn0026268-FBgn0031775-FBgn0030332-FBgn0263830-FBgn0069973-FBgn0038878","CG1386-CG9150-CG9360-CG40486-CG40485-CG3301","antdh-CG9150-CG9360-CG40486-CG40485-CG3301","EOG8G1Q7S-EOG8G1Q7S-EOG8G1Q7S-EOG8G1Q7S-EOG8G1Q7S-EOG8G1Q7S","","",""
"gene7108","gene7108","supercont1.272;supercont1.272","1160176;1160735","1160663;1161961","+;+",1715,"AAEL007668","FBpp0071753","FBgn0034727","CG3633","mRpS29","EOG85HVP9","","",""
"gene7109","gene7109","supercont1.272","1055732","1057411","+",1680,"AAEL007665",NA,NA,NA,NA,NA,"","",""
"gene711","gene711","supercont1.447;supercont1.447;supercont1.447","539997;540725;541161","540388;541101;541330","-;-;-",939,"AAEL010029","FBpp0087092","FBgn0033686","CG12367","Hen1","EOG8M6896","","",""
"gene7110","gene7110","supercont1.272;supercont1.272;supercont1.272;supercont1.272;supercont1.272;supercont1.272;supercont1.272;supercont1.272","720200;720481;804063;917455;918250;953841;996781;996963","720427;720590;804243;917530;918444;953927;996890;997109","+;+;+;+;+;+;+;+",1134,"AAEL007664","FBpp0079502-FBpp0291049-FBpp0089367","FBgn0032151-FBgn0086778-FBgn0028875","CG4128-CG32538-CG32975","nAChRalpha6-nAChRalpha7-nAChRalpha5","EOG8CG315-EOG8CG315-EOG8CG315","nAChR_7","ACh receptor","ACh receptor (nicotinic)"
"gene7111","gene7111","supercont1.2227","147","506","+",360,"AAEL017574","FBpp0071658-FBpp0075456-FBpp0071657-FBpp0071636","FBgn0042098-FBgn0036436-FBgn0034661-FBgn0034666","CG18735-CG4914-CG4386-CG9294","CG18735-CG4914-CG4386-CG9294","EOG8BZQT3-EOG8BZQT3-EOG8BZQT3-EOG8BZQT3","","",""
"gene7112","gene7112","supercont1.506;supercont1.506;supercont1.506;supercont1.506","200437;229593;249049;266702","218895;232881;249858;267194","-;-;-;-",23051,"AAEL010757",NA,NA,NA,NA,NA,"","",""
"gene7113","gene7113","supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506","13672;25926;26323;91721;109350;109721;119680","25864;26259;28948;92246;109461;110251;120065","-;-;-;-;-;-;-",16708,"AAEL010749","FBpp0073952","FBgn0030716","CG9170","CG9170","EOG8BP434","","",""
"gene7114","gene7114","supercont1.506","487596","487982","-",387,"AAEL010763",NA,NA,NA,NA,NA,"","",""
"gene7115","gene7115","supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506","714906;742315;742796;742960;757120;757289;768501;768723;768930;770033;770290;770443;770643;779586","715641;742735;742894;743255;757186;757343;768663;768861;769512;770226;770384;770569;770769;780803","+;+;+;+;+;+;+;+;+;+;+;+;+;+",4320,"AAEL017338","FBpp0085692","FBgn0263395","CG7097","hppy","EOG8QNQMH","","",""
"gene7116","gene7116","supercont1.506;supercont1.506;supercont1.506;supercont1.506","421903;422033;422156;422855","422031;422081;422767;422988","+;+;+;+",924,"AAEL010751","FBpp0081476","FBgn0010222","CG18466","Nmdmc","EOG8HB1BN","","",""
"gene7117","gene7117","supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506","429801;435027;435259;435542;435982;436590;444907","430669;435136;435411;435794;436298;436774;444940","-;-;-;-;-;-;-",1921,"AAEL010750","FBpp0288751","FBgn0034420","CG10737","CG10737","EOG82Z7FK","","",""
"gene7118","gene7118","supercont1.506","862688","866174","-",3487,"AAEL010748",NA,NA,NA,NA,NA,"","",""
"gene7119","gene7119","supercont1.506;supercont1.506","144606;145740","145676;146127","-;-",1459,"AAEL010756","FBpp0309135-FBpp0083905","FBgn0010412-FBgn0039129","CG4464-CG5338","RpS19a-RpS19b","EOG82JRJ6-EOG82JRJ6","","",""
"gene712","gene712","supercont1.447;supercont1.447;supercont1.447;supercont1.447;supercont1.447","961122;970147;970374;971142;979427","961958;970307;971043;971275;979435","-;-;-;-;-",1811,"AAEL010024","FBpp0071967","FBgn0261786","CG5360","mi","EOG8GMXNC","","",""
"gene7120","gene7120","supercont1.506;supercont1.506","127890;129719","128658;129863","+;+",914,"AAEL010760","FBpp0072493","FBgn0035164","CG13901","CG13901","EOG8GJ2FR","","",""
"gene7121","gene7121","supercont1.506;supercont1.506","172081;172739","172676;174792","+;+",2650,"AAEL010761","FBpp0081842","FBgn0037881","CG10703","GCC88","EOG8FR3HH","","",""
"gene7122","gene7122","supercont1.506;supercont1.506","300913;302276","302217;303374","+;+",2404,"AAEL010759","FBpp0074847","FBgn0025807","CG3945","Rad9","EOG8DJNN2","","",""
"gene7123","gene7123","supercont1.506;supercont1.506","278495;278803","278739;279171","+;+",614,"AAEL010754","FBpp0072246","FBgn0035032","CG4692","ATPsynF","EOG8FN79P","","",""
"gene7124","gene7124","supercont1.506;supercont1.506","147461;149227","149064;150158","+;+",2536,"AAEL010762","FBpp0074318","FBgn0030877","CG7846","Arp8","EOG8DBX57","","",""
"gene7125","gene7125","supercont1.506;supercont1.506","417086;421899","417093;422046","+;+",156,"AAEL010758",NA,NA,NA,NA,NA,"","",""
"gene7126","gene7126","supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506","292449;295193;295413;309980;318490;318766;319278;319518;329995;338730;339070","294205;295320;295888;310691;318707;319204;319454;319761;330009;339034;339798","-;-;-;-;-;-;-;-;-;-;-",5200,"AAEL010755","FBpp0302662","FBgn0030812","CG8949","CG8949","EOG89KJG9","","",""
"gene7127","gene7127","supercont1.506;supercont1.506;supercont1.506;supercont1.506","149227;154580;155105;155339","150047;154920;155261;155968","-;-;-;-",1949,"AAEL010753","FBpp0080915","FBgn0032870","CG2608","CG2608","EOG80ZTQ5","","",""
"gene7128","gene7128","supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506;supercont1.506","567302;568693;568943;577127;579439;595439;595644;596808;668187;673889;681549;707491","568474;568881;569028;577487;579706;595576;595904;596910;668579;674210;682290;708827","-;-;-;-;-;-;-;-;-;-;-;-",5373,"AAEL010747","FBpp0113115","FBgn0000578","CG15112","ena","EOG89W572","","",""
"gene7129","gene7129","supercont1.506","781955","783761","+",1807,"AAEL017496",NA,NA,NA,NA,NA,"","",""
"gene713","gene713","supercont1.447;supercont1.447","38339;38893","38835;39013","+;+",618,"AAEL010036",NA,NA,NA,NA,NA,"","",""
"gene7130","gene7130","supercont1.506;supercont1.506;supercont1.506","358552;369297;369546","358993;369484;370257","+;+;+",1342,"AAEL010752",NA,NA,NA,NA,NA,"","",""
"gene7131","gene7131","supercont1.985","133027","135437","+",2411,"AAEL017049",NA,NA,NA,NA,NA,"","",""
"gene7132","gene7132","supercont1.985;supercont1.985;supercont1.985;supercont1.985;supercont1.985","135738;142858;142998;143216;144182","135842;142922;143148;143316;144314","-;-;-;-;-",555,"AAEL014022",NA,NA,NA,NA,NA,"","",""
"gene7133","gene7133","supercont1.985;supercont1.985;supercont1.985;supercont1.985;supercont1.985","62935;63899;79759;80383;93736","63840;64693;80323;81189;94474","+;+;+;+;+",3812,"AAEL014019",NA,NA,NA,NA,NA,"","",""
"gene7134","gene7134","supercont1.985;supercont1.985;supercont1.985","181593;183451;303801","181621;183617;304504","-;-;-",900,"AAEL014018",NA,NA,NA,NA,NA,"","",""
"gene7135","gene7135","supercont1.985;supercont1.985;supercont1.985;supercont1.985","217572;222348;223674;225038","217912;223612;223734;225331","+;+;+;+",1961,"AAEL014020","FBpp0290028","FBgn0086855","CG17078","CG17078","EOG84N1HN","","",""
"gene7136","gene7136","supercont1.985;supercont1.985;supercont1.985;supercont1.985;supercont1.985;supercont1.985;supercont1.985;supercont1.985","91630;93718;94648;104631;104842;106592;117411;119411","91670;94589;95092;104784;105469;107098;119341;119637","-;-;-;-;-;-;-;-",4805,"AAEL014021","FBpp0071814","FBgn0034795","CG3695","MED23","EOG8RZ1QD","","",""
"gene7137","gene7137","supercont1.985;supercont1.985;supercont1.985;supercont1.985","25294;25718;33894;37367","25661;25887;34679;37483","+;+;+;+",1441,"AAEL014017","FBpp0078832","FBgn0031784","CG9222","CG9222","EOG8ZGS4S","","",""
"gene7138","gene7138","supercont1.150","1400703","1401927","+",1225,"RU086",NA,NA,NA,NA,NA,"","",""
"gene7139","gene7139","supercont1.150;supercont1.150","1627706;1628330","1628263;1629077","-;-",1306,"AAEL005295",NA,NA,NA,NA,NA,"","",""
"gene714","gene714","supercont1.447;supercont1.447","107110;107472","107402;107750","-;-",572,"AAEL010016",NA,NA,NA,NA,NA,"","",""
"gene7140","gene7140","supercont1.150;supercont1.150;supercont1.150","1334143;1334234;1334251","1334229;1334248;1334361","+;+;+",213,"AAEL005301",NA,NA,NA,NA,NA,"","",""
"gene7141","gene7141","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","729722;730224;746038;747194;747385","730155;730615;746748;747319;747637","+;+;+;+;+",1916,"AAEL005296",NA,NA,NA,NA,NA,"","",""
"gene7142","gene7142","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","573458;574394;579654;590137;596854;597197","574232;574522;580160;591145;597133;598660","+;+;+;+;+;+",4164,"AAEL005289","FBpp0074729","FBgn0022774","CG8782","Oat","EOG847JK0","","",""
"gene7143","gene7143","supercont1.150;supercont1.150","16037;16517","16130;16584","+;+",162,"AAEL005298","FBpp0307135","FBgn0261606","CG15442","RpL27A","EOG8CNTHX","","",""
"gene7144","gene7144","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","823427;824589;833341;842240;843329;843473;844085;852411","823577;825046;833914;842545;843414;844027;844210;852686","+;+;+;+;+;+;+;+",2532,"AAEL005306",NA,NA,NA,NA,NA,"","",""
"gene7145","gene7145","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","608438;621620;622742;623156;624367;634653","609794;622674;623092;623322;624709;635276","-;-;-;-;-;-",3897,"AAEL005290","FBpp0080047","FBgn0032513","CG6565","CG6565","EOG834ZXV","","",""
"gene7146","gene7146","supercont1.150;supercont1.150","642284;643989","642945;644884","+;+",1558,"AAEL005309","FBpp0071501","FBgn0026582","CG9418","Hmg-2","EOG8XD6HC","","",""
"gene7147","gene7147","supercont1.150;supercont1.150;supercont1.150","2907;5080;7057","3379;6136;7451","-;-;-",1925,"AAEL005297","FBpp0076595","FBgn0035761","CG8606","RhoGEF4","EOG8BCHCQ","","",""
"gene7148","gene7148","supercont1.150;supercont1.150","1284364;1407583","1284561;1407730","+;+",346,"AAEL011680",NA,NA,NA,NA,NA,"NPYLR3b","neuropeptide receptor","neuropeptide receptor"
"gene7149","gene7149","supercont1.150;supercont1.150;supercont1.150;supercont1.150","852727;864373;864562;865028","854181;864435;865023;865369","-;-;-;-",2322,"AAEL005308","FBpp0070679","FBgn0028325","CG7010","l(1)G0334","EOG80KBQJ","","",""
"gene715","gene715","supercont1.447","281813","282049","+",237,"AAEL010034",NA,NA,NA,NA,NA,"","",""
"gene7150","gene7150","supercont1.150;supercont1.150","677873;678718","678658;678978","-;-",1047,"AAEL005292","FBpp0071384","FBgn0083167","CG15304","Neb-cGP","EOG89KJJ0","","",""
"gene7151","gene7151","supercont1.150;supercont1.150","1705584;1706328","1706258;1706853","-;-",1201,"AAEL005288",NA,NA,NA,NA,NA,"","",""
"gene7152","gene7152","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","1598909;1599097;1604982;1606722;1620707","1598915;1600752;1605389;1607267;1621996","-;-;-;-;-",3907,"AAEL005303","FBpp0077502","FBgn0027509","CG7261","TBCD","EOG8616V8","","",""
"gene7153","gene7153","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","334652;334849;345175;367723;368194;369037;369253;392287;421053;421252;443997;444763;455441;456783;457248;457782;466521;485597;487576;504559;505123;505737;516738;517764;535877;557388","334714;335160;345263;367894;368343;369137;369362;392327;421184;421374;444059;445257;455607;456941;457349;457928;467732;485762;487943;504795;505372;505811;516809;517865;536526;559837","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",8008,"AAEL005304","FBpp0304550","FBgn0263197","CG33130","Patronin","EOG8CNTG9","","",""
"gene7154","gene7154","supercont1.150","1757390","1758398","+",1009,"AAEL017255",NA,NA,NA,NA,NA,"","",""
"gene7155","gene7155","supercont1.150;supercont1.150","1758234;1768920","1760527;1769225","-;-",2600,"AAEL005293",NA,NA,NA,NA,NA,"","",""
"gene7156","gene7156","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","34998;47775;48580;56211;56450;63177;65134;65472;65736;108408;134883","35438;47813;48922;56389;57338;64438;65403;65674;66315;109134;138743","-;-;-;-;-;-;-;-;-;-;-",8794,"AAEL005291","FBpp0271738","FBgn0025681","CG3558","CG3558","EOG8MPMFF","","",""
"gene7157","gene7157","supercont1.150;supercont1.150;supercont1.150","141566;146258;147391","141819;147320;147478","-;-;-",1405,"AAEL005307","FBpp0087757","FBgn0033351","CG8235","CG8235","EOG8BP443","","",""
"gene7158","gene7158","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","1806443;1827418;1827757;1829323;1830667;1830845;1845544","1809571;1827685;1827972;1829607;1830776;1831228;1845812","-;-;-;-;-;-;-",4661,"AAEL005305","FBpp0111997","FBgn0034091","CG8448","mrj","EOG880MP5","","",""
"gene7159","gene7159","supercont1.150;supercont1.150;supercont1.150","196734;197428;197802","197365;197624;198299","+;+;+",1327,"AAEL005311",NA,NA,NA,NA,NA,"","",""
"gene716","gene716","supercont1.447;supercont1.447;supercont1.447","792358;819113;825732","793545;819286;826098","+;+;+",1729,"AAEL010035","FBpp0085379","FBgn0022288","CG12792","l(2)09851","EOG8V460J","","",""
"gene7160","gene7160","supercont1.150;supercont1.150;supercont1.150","1771464;1771553;1771702","1771490;1771638;1772029","+;+;+",441,"AAEL005294",NA,NA,NA,NA,NA,"","",""
"gene7161","gene7161","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","763392;763855;764457;773975;774496;775097;775551;776169;787161;787271;789503","763785;764397;764512;774433;775038;775488;776095;776346;787202;787722;789550","-;-;-;-;-;-;-;-;-;-;-",3652,"AAEL018337",NA,NA,NA,NA,NA,"","",""
"gene7162","gene7162","supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150;supercont1.150","1732762;1732956;1733383;1746165;1746789;1747004;1757113","1732883;1733322;1733512;1746711;1746884;1747130;1757121","+;+;+;+;+;+;+",1398,"AAEL005302","FBpp0086668","FBgn0027538","CG8536","beta4GalNAcTA","EOG8R52TR","","",""
"gene7163","gene7163","supercont1.1667;supercont1.1667;supercont1.1667;supercont1.1667;supercont1.1667;supercont1.1667;supercont1.1667;supercont1.1667;supercont1.1667;supercont1.1667;supercont1.1667","2608;3414;3615;4673;18130;18521;19318;19526;45545;49923;50540","3351;3546;3707;4702;18464;18695;19460;19885;45549;49957;50984","-;-;-;-;-;-;-;-;-;-;-",2498,"AAEL015255","FBpp0308809-FBpp0071491","FBgn0034789-FBgn0016984","CG3682-CG9985","PIP5K59B-sktl","EOG80S360-EOG80S360","","",""
"gene7164","gene7164","supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839","200622;213223;213484;213667;233676;236097;236550;272675;273176;282416;282755;283637;329107;342152;379682;390857;391101;419809","212959;213425;213606;213807;236036;236270;236669;272959;273463;282688;282906;283676;329251;342600;379799;391003;391262;420141","-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-",17852,"AAEL013409","FBpp0303369","FBgn0265296","CG42256","Dscam2","EOG8HDWJQ","","",""
"gene7165","gene7165","supercont1.839;supercont1.839","191833;192533","192475;192781","+;+",892,"AAEL013410","FBpp0076533","FBgn0035805","CG7506","CG7506","EOG84N1JP","","",""
"gene7166","gene7166","supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839","69587;86021;86776;87546;113831","81051;86659;87348;89124;114416","-;-;-;-;-",14842,"AAEL013408","FBpp0074651","FBgn0013799","CG8567","Deaf1","EOG85QM52","","",""
"gene7167","gene7167","supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839;supercont1.839","136132;138472;144755;151131;157343;179632","138266;138511;144794;152766;157990;180052","-;-;-;-;-;-",4920,"AAEL013407","FBpp0074825","FBgn0000261","CG6871","Cat","EOG869TKD","","",""
"gene7168","gene7168","supercont1.2350;supercont1.2350","2487;2627","2572;4487","+;+",1947,"AAEL015455","FBpp0071142","FBgn0030000","CG2260","CG2260","EOG8D81X8","","",""
"gene7169","gene7169","supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747","146729;156089;156362;156602;156924;157836;158131;191328","148185;156284;156537;156863;157766;158007;158241;192190","-;-;-;-;-;-;-;-",4080,"AAEL012831","FBpp0076718","FBgn0035696","CG10173","Best2","EOG87WRD4","","",""
"gene717","gene717","supercont1.447","479517","482549","-",3033,"AAEL010026","FBpp0072702","FBgn0035246","CG13928","CG13928","EOG8H754T","","",""
"gene7170","gene7170","supercont1.747;supercont1.747","455154;461150","456264;461470","-;-",1432,"AAEL012837",NA,NA,NA,NA,NA,"","",""
"gene7171","gene7171","supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747","680965;682200;684459;688971;689324;703930;726771;726930;733333;733721;734287;735018","681513;682428;684540;689254;689556;704080;726867;727163;733662;734003;734955;735028","-;-;-;-;-;-;-;-;-;-;-;-",3152,"AAEL012836","FBpp0075006","FBgn0036710","CG6479","CG6479","EOG8WHCBB","","",""
"gene7172","gene7172","supercont1.747","135716","136408","+",693,"AAEL017353",NA,NA,NA,NA,NA,"","",""
"gene7173","gene7173","supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747","120560;120736;121336;123837;124064;124346;124626;135560","120667;120931;121823;124003;124289;124554;124856;135704","+;+;+;+;+;+;+;+",1770,"AAEL012833","FBpp0076833","FBgn0035622","CG10590","CG10590","EOG8J6VGD","","",""
"gene7174","gene7174","supercont1.747;supercont1.747","799602;807750","799908;809126","+;+",1684,"AAEL012830","FBpp0074715","FBgn0029094","CG9383","asf1","EOG8JDM08","","",""
"gene7175","gene7175","supercont1.747;supercont1.747;supercont1.747","79298;79968;113157","79907;80642;113361","-;-;-",1490,"AAEL012834",NA,NA,NA,NA,NA,"","",""
"gene7176","gene7176","supercont1.747;supercont1.747;supercont1.747;supercont1.747","752753;761275;761708;783935","753297;761638;761940;784313","-;-;-;-",1521,"AAEL012832","FBpp0072783","FBgn0035321","CG1275","CG1275","EOG8WWV9X","","",""
"gene7177","gene7177","supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747","662479;662759;663287;663675;664214;664944","662692;662992;663616;663957;664882;665121","-;-;-;-;-;-",1908,"AAEL012838","FBpp0075006","FBgn0036710","CG6479","CG6479","EOG8WHCBB","","",""
"gene7178","gene7178","supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747;supercont1.747","516985;581106;589227;590844;590994;591223;591409;591886;598363;599782","517218;581481;590592;590934;591164;591351;591589;592061;599715;599975","+;+;+;+;+;+;+;+;+;+",4271,"AAEL012835","FBpp0076092","FBgn0036053","CG6718","iPLA2-VIA","EOG8W6RM9","","",""
"gene7179","gene7179","supercont1.1251;supercont1.1251;supercont1.1251;supercont1.1251","28657;34350;34980;39490","30136;34641;35288;40285","-;-;-;-",2877,"AAEL014750","FBpp0071033","FBgn0029958","CG12151","Pdp","EOG86DPTF","","",""
"gene718","gene718","supercont1.447;supercont1.447","520989;521575","521496;523733","+;+",2667,"AAEL010037","FBpp0075247","FBgn0003076","CG5165","Pgm","EOG89PDQ1","","",""
"gene7180","gene7180","supercont1.1251;supercont1.1251;supercont1.1251;supercont1.1251","86969;87345;88405;94722","87115;88341;88646;94742","+;+;+;+",1407,"AAEL014751",NA,NA,NA,NA,NA,"","",""
"gene7181","gene7181","supercont1.1251;supercont1.1251;supercont1.1251;supercont1.1251;supercont1.1251;supercont1.1251;supercont1.1251;supercont1.1251","61467;72681;74075;76892;94834;102647;117775;118777","63387;72855;74235;77469;95099;102875;118637;118842","-;-;-;-;-;-;-;-",4259,"AAEL014749","FBpp0070558","FBgn0015286","CG2849","Rala","EOG8F4W3F","","",""
"gene7182","gene7182","supercont1.1251;supercont1.1251;supercont1.1251","44157;44489;51645","44416;49633;51871","+;+;+",5632,"AAEL014752","FBpp0071034","FBgn0027553","CG32721","NELF-B","EOG815K50","","",""
"gene7183","gene7183","supercont1.889;supercont1.889","42534;81845","42964;83229","+;+",1816,"AAEL013645","FBpp0087471","FBgn0000715","CG2346","FMRFa","EOG8T4GMN","FMRFamide","neuropeptide","neuropeptide"
"gene7184","gene7184","supercont1.889;supercont1.889;supercont1.889;supercont1.889;supercont1.889","83041;94271;99152;103514;104056","94208;94367;100343;103990;104416","-;-;-;-;-",13295,"AAEL013647","FBpp0085501","FBgn0053349","CG33349","ppk25","EOG8SN4DM","ppk25","PPK","PPK"
"gene7185","gene7185","supercont1.889;supercont1.889;supercont1.889;supercont1.889;supercont1.889","318201;319929;320288;320507;341583","318921;320175;320381;320603;342126","-;-;-;-;-",1703,"AAEL013649",NA,NA,NA,NA,NA,"","",""
